iteration,total,bc,pde,supervised
189,3.3201543e14,8.212925,1.3562485,3.3201543e14
190,3.3201543e14,8.212054,1.3654064,3.3201543e14
191,3.3201543e14,8.211258,1.3747213,3.3201543e14
192,3.3201543e14,8.210524,1.3840568,3.3201543e14
193,3.3201543e14,8.209836,1.3931841,3.3201543e14
194,3.3201543e14,8.209179,1.4017879,3.3201543e14
195,3.3201543e14,8.208548,1.409484,3.3201543e14
196,3.3201543e14,8.207956,1.4158734,3.3201543e14
197,3.3201543e14,8.207419,1.4206116,3.3201543e14
198,3.3201543e14,8.206975,1.423498,3.3201543e14
199,3.3201543e14,8.206644,1.4245402,3.3201543e14
200,3.3201543e14,8.206444,1.4239627,3.3201543e14
201,3.3201543e14,8.206385,1.4221656,3.3201543e14
202,3.3201543e14,8.206461,1.419625,3.3201543e14
203,3.3201543e14,8.206675,1.4168065,3.3201543e14
204,3.3201543e14,8.207021,1.4140958,3.3201543e14
205,3.3201543e14,8.207501,1.4117677,3.3201543e14
206,3.3201543e14,8.208118,1.4099891,3.3201543e14
207,3.3201543e14,8.208876,1.4088378,3.3201543e14
208,3.3201543e14,8.209765,1.4083409,3.3201543e14
209,3.3201543e14,8.210763,1.4085178,3.3201543e14
210,3.3201543e14,8.211837,1.4094211,3.3201543e14
211,3.3201543e14,8.212924,1.4111499,3.3201543e14
212,3.320154e14,8.21397,1.4138398,3.320154e14
213,3.320154e14,8.214904,1.417625,3.320154e14
214,3.320154e14,8.215669,1.4226063,3.320154e14
215,3.320154e14,8.216229,1.4288219,3.320154e14
216,3.320154e14,8.216559,1.436241,3.320154e14
217,3.320154e14,8.216665,1.4447728,3.320154e14
218,3.320154e14,8.2165575,1.4542851,3.320154e14
219,3.320154e14,8.21627,1.4646364,3.320154e14
220,3.320154e14,8.215832,1.4757026,3.320154e14
221,3.320154e14,8.215267,1.4873918,3.320154e14
222,3.320154e14,8.214614,1.4996499,3.320154e14
223,3.320154e14,8.213894,1.5124382,3.320154e14
224,3.320154e14,8.213143,1.5257055,3.320154e14
